t,steer,gyro_flu,vx,arm,RF_rpm,RF_cur,FL_rpm,FL_cur,RR_rpm,RR_cur,RL_rpm,RL_cur
6.801,0.0,1e-04,0.0,1,0,0.08001708984375,0,0.304443359375,0,0.13720703125,0,0.1441650390625
6.82,0.0,-0.0003,0.0,1,0,0.052642822265625,0,-0.47998046875,0,0.12890625,0,-0.296142578125
6.84,0.0,0.0005,0.0,1,0,0.02935791015625,0,-0.45166015625,0,0.0860595703125,0,-0.04833984375
6.861,0.0,-0.0005,0.0,1,0,0.02935791015625,0,-0.270263671875,0,0.107177734375,0,0.1192626953125
6.88,0.0,-0.0013,0.0,1,0,0.050689697265625,0,0.252197265625,0,-0.08514404296875,0,0.02166748046875
6.9,0.0,-0.0003,0.0,1,0,0.0872802734375,0,0.052703857421875,0,0.0634765625,0,-0.0361328125
6.92,0.0,-0.0014,0.0,1,0,0.0872802734375,0,0.273193359375,0,-0.107177734375,0,0.1519775390625
6.94,0.0,-0.0005,0.0,1,0,-0.1011962890625,0,0.364013671875,0,-0.08685302734375,0,0.132080078125
6.962,0.0,0.0004,0.0,1,0,0.1441650390625,0,-0.47705078125,0,-0.08111572265625,0,0.06915283203125
6.98,0.0,-0.0006,0.0,1,0,0.1346435546875,0,0.2352294921875,0,-0.09197998046875,0,0.12396240234375
7.0,0.0,-0.001,0.0,1,0,-0.087158203125,0,0.303955078125,0,-0.10992431640625,0,-0.071044921875
7.02,0.0,1e-04,0.0,1,0,-0.1685791015625,0,0.32421875,0,-0.068603515625,0,0.03753662109375
7.04,0.0,-0.0011,0.0,1,0,-0.033294677734375,0,0.32421875,0,0.1380615234375,0,0.11767578125
7.06,0.0,-0.0002,0.0,1,0,-0.07196044921875,0,0.312255859375,0,0.09503173828125,0,-0.264892578125
7.08,0.0,0.001,0.0,1,0,0.10333251953125,0,-0.0231475830078125,0,0.150390625,0,0.2137451171875
7.1,0.0,-0.0007,0.0,1,0,-0.09710693359375,0,0.093017578125,0,0.1517333984375,0,0.1644287109375
7.12,0.0,-0.0,0.0,1,0,-0.0323486328125,0,-0.204833984375,0,0.10552978515625,0,0.1966552734375
7.141,0.0,0.0005,0.0,1,0,-0.0439453125,0,0.2357177734375,0,-0.08331298828125,0,0.1181640625
7.16,0.0,0.0002,0.0,1,0,-0.12091064453125,0,0.283203125,0,0.074462890625,0,0.1181640625
7.18,0.0,0.0003,0.0,1,0,0.149658203125,0,-0.2120361328125,0,-0.0499267578125,0,0.1368408203125
7.2,0.0,-0.0006,0.0,1,0,-0.09613037109375,0,0.1953125,0,0.1617431640625,0,-0.044342041015625
7.22,0.0,0.0003,0.0,1,0,0.09368896484375,0,-0.0797119140625,0,-0.07513427734375,0,-0.1280517578125
7.24,0.0,-0.0005,0.0,1,0,0.11376953125,0,0.10150146484375,0,-0.07757568359375,0,-0.1456298828125
7.261,0.0,-0.0013,0.0,1,0,-0.1397705078125,0,0.333740234375,0,-0.107666015625,0,-0.229248046875
7.28,0.0,-1e-04,0.0,1,0,-0.1285400390625,0,-0.4716796875,0,0.10174560546875,0,-0.09722900390625
